HARGA,ALAMAT,K_TIDUR,K_MANDI,L_TANAH,L_BANGUNAN,CARPORT,SERTIFIKAT,LISTRIK,LANTAI,TAHUN
495000000,Banguntapan,3,1,50,76,1, SHM ,1300,1,2022
,,,,,,,,,,
100000000,Sewon,,,176,63,, HGB ,,1,
2500000000,Sewon,6,4,354,250,2, SHM ,4400,1,
200000000,Banguntapan,4,3,113,140,2, SHM ,1300,2,
1200000000,Sewon,4,4,120,150,3, SHM ,,2,
4750000000,Banguntapan,7,6,730,450,1, SHM ,2200,1,2018
1390000000,Sewon,12,12,150,380,1, SHM ,,3,
800000000,Sewon,2,1,90,90,, SHM ,2200,,2015
275000000,Sedayu,2,1,70,36,, SHM ,1300,1,2022
3100000000,Kasihan,4,4,281,195,2, SHM ,3500,2,
695000000,Kasihan,2,2,105,60,1, SHM ,1300,2,2022
270000000,Pandak,2,1,90,45,1, SHM ,1300,1,2022
298000000,Sedayu,2,1,96,36,1, SHM ,1300,1,
407000000,Plered,2,1,80,45,, SHM ,900,1,2021
1500000000,Sewon,2,1,150,90,1, SHM ,2200,1,2010
299000000,Sedayu,2,1,72,36,1, HGB ,1300,1,2022
260000000,Sedayu,2,1,60,36,1, SHM ,1300,1,2022
1750000000,Kasihan,9,10,109,118,1, SHM ,3500,2,
335000000,Bantul,2,1,87,50,1, SHM ,900,1,2022
150000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
1900000000,Kasihan,4,3,166,40145,3, SHM ,2200,2,
330000000,Kasihan,2,1,73,36,1, SHM ,1300,1,2022
690000000,Kasihan,4,3,280,200,2,SHM,2200,2,2022
530000000,Piyungan,2,1,84,45,, SHM ,1300,1,2020
1990000000,Sewon,3,4,308,250,2, SHM ,3500,1,2018
399000000,Bantul,2,1,103,45,, SHM ,1300,1,2022
630000000,Sedayu,3,2,68,75,2, SHM ,1300,2,
450000000,Banguntapan,2,1,70,45,, SHM ,900,,2020
1100000000,Banguntapan,3,2,91,100,1, SHM ,2200,2,2022
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,2022
830000000,Banguntapan,4,3,320,220,2,SHM,2200,2,2020
450000000,Banguntapan,2,1,75,50,, SHM ,,1,
1700000000,Bantul,3,2,513,40,8, SHM ,1300,1,2011
385000000,Kasihan,2,1,80,45,1, SHM ,1300,1,
1750000000,Bantul,9,10,109,118,1, SHM ,3500,2,
988000000,Sedayu,3,2,92,120,1, SHM ,2200,3,2022
350000000,Kasihan,2,1,72,45,1, SHM ,1300,1,2022
430000000,Banguntapan,2,1,85,55,1,SHM,1300,1,2021
2650000000,Kasihan,4,3,130,145,2, SHM ,2200,,
515000000,Sedayu,2,1,72,48,1, SHM ,1300,1,2022
450000000,Bantul,2,1,90,46,1, SHM ,1300,1,2022
385000000,Banguntapan,2,1,50,50,, SHM ,1300,1,2022
2400000000,Kasihan,4,3,198,200,, SHM ,4400,2,2019
1000000000,Banguntapan,7,7,930,900,, HGB ,16500,2,
300000000,Pajangan,2,1,80,45,1, SHM ,1300,1,2022
445000000,Banguntapan,2,1,120,50,2, SHM ,1300,1,2020
1750000000,Kasihan,9,10,109,118,1, SHM ,3500,2,
750000000,Sewon,2,1,80,65,1, SHM ,1300,2,2022
550000000,Jetis,2,2,136,90,1, SHM ,900,2,2021
325000000,Pajangan,2,1,88,45,, SHM ,1300,1,2022
1600000000,Banguntapan,3,2,100,140,1, SHM ,2200,2,2021
699000000,Banguntapan,2,1,115,60,1, SHM ,1300,1,2021
495000000,Kasihan,3,1,100,45,, SHM ,1300,,2021
850000000,Kasihan,5,4,340,250,2,SHM,2200,3,2020
270000000,Sedayu,2,1,36,80,1, SHM ,1300,1,
375000000,Sewon,2,1,75,45,, SHM ,1300,1,2022
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,
359000000,Sedayu,2,1,78,40,1, SHM ,1300,1,2022
990000000,Sewon,3,2,105,90,, SHM ,1300,2,
499000000,Kasihan,2,1,95,50,1, SHM ,1300,1,
990000000,Sewon,2,2,124,110,3, SHM ,1300,2,2020
805000000,Banguntapan,2,1,88,76,1, SHM ,2200,1,2022
1550000000,Banguntapan,3,3,120,90,1, SHM ,2200,2,2022
520000000,Bantul,3,2,170,110,1,SHM,1300,1,2020
240000000,Pandak,2,1,80,40,1, SHM ,1300,1,
900000000,Kasihan,5,4,350,250,3,SHM,3500,3,2022
1650000000,Piyungan,4,3,588,200,1, SHM ,1300,1,
375000000,Bantul,,,,,,,,,
950000000,Kasihan,3,2,95,85,1, SHM ,2200,2,2021
931000000,Sedayu,3,3,75,120,1, SHM ,2200,3,2022
385000000,Banguntapan,2,1,70,45,1,SHM,1300,1,2023
656000000,Sedayu,2,1,107,48,1, SHM ,1300,1,2022
385000000,Banguntapan,2,1,70,45,1,SHM,1300,1,2022
950000000,Sewon,6,4,350,300,3,SHM,3500,3,2022
1500000000,Banguntapan,3,4,186,186,, SHM ,2200,2,2016
1350000000,Kasihan,3,2,147,95,, HGB ,1300,,
375000000,Kasihan,2,1,80,45,1, SHM ,900,1,
510000000,Sedayu,3,2,72,48,1, SHM ,1300,1,
175000000,Bantul,2,1,60,30,1, SHM ,1300,1,2022
335000000,Banguntapan,2,1,70,36,1, SHM ,1300,1,2022
2250000000,Sewon,,,,,,,,,
200000000,Kasihan,5,3,140,227,1, SHM ,2200,,
490000000,Banguntapan,3,2,100,70,1,SHM,1300,1,2019
650000000,Bantul,2,1,108,55,2, SHM ,2200,1,2022
540000000,Banguntapan,3,2,150,100,1,SHM,1300,1,2022
445000000,Banguntapan,2,1,81,55,1, SHM ,1300,1,2020
,,,,,,,,,,
975000000,Banguntapan,3,2,75,130,1, SHM ,2200,2,
445000000,Banguntapan,2,1,77,60,, SHM ,1300,1,2021
500000000,Kasihan,2,1,91,45,1, SHM ,1300,1,2022
445000000,Banguntapan,3,1,70,50,1, SHM ,1300,1,2022
750000000,Banguntapan,2,1,93,70,, SHM ,1300,,
350000000,Sewon,2,1,80,45,2, SHM ,1300,1,2022
175000000,Pandak,2,1,60,30,1, SHM ,1300,1,2022
345000000,Banguntapan,2,1,60,36,1, SHM ,1300,1,
3450000000,Kasihan,6,4,173,300,, HGB ,2200,2,2013
5690000000,Kasihan,22,22,275,550,10, SHM ,8000,,
430000000,Kasihan,2,1,60,80,1, SHM ,900,1,2022
429000000,Sedayu,2,1,100,42,, SHM ,1300,,
480000000,Kasihan,2,1,95,45,1, SHM ,1300,1,2022
570000000,Banguntapan,3,2,140,95,1,SHM,1300,1,2020
975000000,Bantul,3,2,80,65,1, SHM ,1300,2,2022
1150000000,Kasihan,2,1,103,60,1, SHM ,2200,1,2018
385000000,Sedayu,2,1,74,36,, HGB ,1300,1,2021
890000000,Banguntapan,2,2,96,60,1, SHM ,1300,1,2022
900000000,Banguntapan,6,4,350,280,3,SHM,3500,3,2023
835000000,Sedayu,3,2,100,70,1, SHM ,1300,1,2022
350000000,Kasihan,2,1,77,36,1, SHM ,1300,1,
510000000,Sewon,3,2,110,80,1,SHM,1300,2,2023
250000000,Sedayu,2,1,90,42,1, SHM ,1300,1,2022
600000000,Banguntapan,3,1,106,60,1, SHM ,1300,1,2022
275000000,Sedayu,2,1,70,36,, SHM ,,,
3100000000,Kasihan,4,4,281,195,1, SHM ,3500,2,2022
430000000,Sedayu,2,1,80,50,1,SHM,900,1,2020
3100000000,Kasihan,4,4,281,195,1, SHM ,3500,2,
610000000,Sedayu,4,3,170,120,2,SHM,2200,2,2023
510000000,Sedayu,3,2,72,48,1, SHM ,1300,1,
250000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
545000000,Sewon,2,1,85,50,, HGB ,1300,1,2021
510000000,Sedayu,3,2,72,48,, SHM ,1300,1,
482000000,Piyungan,2,1,73,40,1, SHM ,1300,1,2022
535000000,Kasihan,2,1,110,54,1, SHM ,1300,1,
475000000,Kasihan,2,1,93,45,1, SHM ,1300,1,
2250000000,Kasihan,14,14,287,287,, SHM ,2200,1,2016
4500000000,Piyungan,6,3,615,440,, SHM ,,2,
285000000,Piyungan,2,1,59,36,, SHM ,,,2019
269000000,Sedayu,2,1,74,36,1, SHM ,1300,1,2022
3900000000,Banguntapan,6,5,615,440,, SHM ,4400,2,2018
445000000,Banguntapan,3,1,70,50,1, SHM ,1300,1,2022
415000000,Sedayu,3,1,75,49,1, SHM ,1300,1,2022
750000000,Banguntapan,3,2,84,65,, SHM ,2200,,
510000000,Sedayu,3,2,72,48,1, SHM ,1300,1,
590000000,Sedayu,3,2,150,100,1,SHM,900,1,2020
495000000,Sedayu,2,1,118,45,2, SHM ,1300,1,2022
390000000,Sedayu,2,1,83,40,1, SHM ,1300,1,
1650000000,Kasihan,6,2,214,159,2, SHM ,1300,2,2017
380000000,Kasihan,2,1,36,85,1, SHM ,1300,1,2018
580000000,Kasihan,3,2,185,125,1,SHM,1300,1,2022
250000000,Pajangan,2,1,72,36,1, SHM ,1300,1,2022
315000000,Sedayu,2,1,97,40,1, SHM ,1300,1,2022
1500000000,Banguntapan,6,2,260,120,, SHM ,,1,
850000000,Banguntapan,3,2,74,110,, SHM ,3500,2,2017
399000000,Sedayu,2,1,79,40,, SHM ,1300,1,2021
550000000,Banguntapan,2,1,87,45,1, SHM ,,1,
610000000,Sedayu,3,2,93,90,, SHM ,,1,
1500000000,Banguntapan,3,2,200,150,, HGB ,2200,1,2019
355000000,Bantul,2,1,83,45,1, SHM ,1300,1,2022
425000000,Banguntapan,2,1,60,75,1, SHM ,1300,1,2022
673000000,Banguntapan,3,2,104,75,1, SHM ,1300,1,2019
475000000,Jetis,2,1,100,50,1, SHM ,900,1,2022
3900000000,Kasihan,20,21,294,500,12, SHM ,3300,,
410000000,Plered,2,1,75,36,, SHM ,,,2017
1450000000,Imogiri,4,4,153,185,1, SHM ,2200,2,2021
398000000,Sedayu,2,1,80,40,2, SHM ,1300,1,2022
975000000,Banguntapan,5,2,129,80,2, SHM ,,,2018
1190000000,Kasihan,3,2,153,150,, SHM ,2200,1,2015
372000000,Kasihan,2,1,103,40,, SHM ,1300,1,
520000000,Banguntapan,2,1,100,65,2,SHM,1300,1,2021
520000000,Banguntapan,3,2,130,90,1,SHM,1300,1,2022
730000000,Kasihan,3,2,83,70,1, SHM ,2200,2,2022
299000000,Sedayu,2,1,72,36,1, SHM ,1300,1,2022
474000000,Kasihan,2,1,83,44,1, SHM ,,2,
450000000,Sewon,2,1,80,45,1, SHM ,1300,1,2022
350000000,Sewon,,,,,,,,,
3820000000,Kasihan,4,4,317,195,1, SHM ,1300,2,2022
350000000,Sewon,2,1,81,45,1, SHM ,1300,1,2022
226000000,Pandak,2,1,60,30,, SHM ,1300,1,2022
465000000,Sewon,2,1,80,45,1, SHM ,1300,1,2022
,,,,,,,,,,
510000000,Sewon,3,2,110,80,1,SHM,1300,2,2019
700000000,Banguntapan,3,2,116,75,1, SHM ,1300,1,2021
390000000,Sedayu,2,1,100,40,1, SHM ,1300,1,2022
195000000,Kasihan,2,1,65,45,1,SHM,900,1,2021
300000000,Bantul,5,3,352,227,, SHM ,2200,,
550000000,Banguntapan,2,1,80,45,1, SHM ,1300,1,
450000000,Kasihan,2,1,45,79,1, SHM ,1300,1,2022
750000000,Sedayu,4,3,320,220,2,SHM,2200,2,2019
299000000,Sedayu,2,1,101,36,1, SHM ,900,1,2022
595000000,Kasihan,2,1,133,56,1, SHM ,1300,1,2022
1400000000,Banguntapan,2,2,121,124,1, SHM ,3500,,
550000000,Sewon,3,2,90,80,1, HGB ,1300,1,
450000000,Sedayu,2,1,90,40,, HGB ,1300,1,
359000000,Sedayu,2,1,80,40,1, SHM ,1300,1,
395000000,Banguntapan,2,1,72,36,1, SHM ,1300,1,2022
185000000,Kasihan,2,1,60,30,, HGB ,900,1,2020
750000000,Banguntapan,3,3,100,85,1, SHM ,1300,1,2020
3500000000,Sewon,3,2,268,180,2, HGB ,2200,1,1999
800000000,Sedayu,4,3,320,220,2,SHM,2200,2,2020
600000000,Sewon,7,2,160,160,, SHM ,900,1,
590000000,Sedayu,3,2,170,120,2,SHM,1300,2,2023
330000000,Sedayu,2,1,60,36,1, SHM ,1300,1,2022
530000000,Kasihan,3,2,175,115,1,SHM,1300,1,2023
200000000,Banguntapan,7,5,341,250,, SHM ,2200,,
695000000,Banguntapan,3,2,105,80,1, SHM ,1300,1,2020
1450000000,Banguntapan,4,4,102,164,2, SHM ,4400,2,
561000000,Sedayu,2,1,98,36,1, SHM ,1300,1,2022
2250000000,Kasihan,3,2,132,100,, HGB ,2200,2,2013
175000000,Pandak,2,1,60,30,1, HGB ,1300,1,2022
310000000,Sewon,2,1,78,40,, SHM ,1300,1,2020
460000000,Sewon,2,1,112,52,1, SHM ,1300,1,2022
150000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
300000000,Sewon,2,1,61,61,, SHM ,,1,
1750000000,Kasihan,3,3,120,110,2, SHM ,2200,2,
890000000,Sewon,6,6,100,60,3, SHM ,1300,2,2018
350000000,Kasihan,2,1,75,45,, SHM ,1300,1,2020
496000000,Kasihan,3,1,101,60,, SHM ,1300,1,2021
1270000000,Banguntapan,3,2,91,100,2, SHM ,,2,
500000000,Kasihan,2,1,91,45,, SHM ,,,
461000000,Pundong,2,1,72,36,, HGB ,1300,1,2020
2700000000,Kasihan,3,3,181,174,, SHM ,,2,
425000000,Banguntapan,2,1,60,40,1, SHM ,1300,1,
690000000,Kasihan,4,3,280,200,2,SHM,2200,2,2019
199000000,Pandak,2,1,60,30,1, HGB ,900,1,2022
931000000,Sedayu,3,3,120,75,1, SHM ,2200,3,
315000000,Kasihan,2,1,84,36,1, SHM ,900,1,2022
5500000000,Bantul,4,5,925,500,4, SHM ,,1,
1350000000,Sewon,3,3,110,100,, HGB ,2200,,
350000000,Sewon,2,1,75,45,, SHM ,1300,1,
455000000,Banguntapan,2,1,75,55,1, SHM ,1300,1,2019
420000000,Kasihan,2,1,103,40,1, SHM ,1300,1,2022
525000000,Banguntapan,3,1,85,70,1, SHM ,900,1,2021
412000000,Sedayu,2,1,83,36,, HGB ,1300,1,
595000000,Bantul,3,2,125,90,1, SHM ,2200,1,2021
450000000,Banguntapan,2,1,75,60,1, SHM ,900,1,2021
270000000,Sedayu,2,1,74,36,1, HGB ,1300,1,2022
899000000,Sewon,4,3,117,207,2, SHM ,,2,
280000000,Pandak,2,1,83,45,1, SHM ,1300,1,2022
1550000000,Banguntapan,3,3,120,90,1, SHM ,2200,2,2022
490000000,Banguntapan,2,1,113,80,, SHM ,,1,
372000000,Kasihan,,,110,40,, SHM ,,1,
230000000,Bantul,2,1,60,30,1, SHM ,1300,1,2022
659000000,Banguntapan,3,2,75,65,1, SHM ,1300,2,2022
275000000,Sedayu,2,1,70,36,1, SHM ,1300,1,
3100000000,Kasihan,4,4,317,195,2, SHM ,3500,2,2022
388000000,Sedayu,2,1,83,40,1, SHM ,1300,1,
750000000,Kasihan,3,2,112,70,2, SHM ,,1,
1450000000,Kasihan,,,,,,,,,
150000000,Sedayu,2,1,60,30,, HGB ,1300,1,
505000000,Sedayu,3,1,84,52,1, SHM ,1300,1,2020
185000000,Sedayu,2,1,60,30,1, SHM ,1300,1,
362000000,Kasihan,2,1,110,36,1, SHM ,1300,1,
366000000,Sedayu,2,1,81,36,1, SHM ,1300,1,2022
750000000,Banguntapan,3,2,84,65,1, SHM ,2200,2,
555000000,Sedayu,3,2,68,75,, SHM ,,,
338000000,Sedayu,3,1,88,45,, SHM ,1300,1,
365000000,Banguntapan,2,1,50,50,1, SHM ,1300,1,
1750000000,Kasihan,,,109,118,, SHM ,,1,
587000000,Kasihan,2,1,103,50,, SHM ,1300,1,2020
315000000,Sedayu,2,1,75,45,1, SHM ,1300,1,2022
226000000,Bantul,2,1,90,50,1, SHM ,1300,1,2022
375000000,Kasihan,2,1,106,36,, SHM ,1300,1,2020
397000000,Sedayu,2,1,72,36,, HGB ,1300,1,2021
758000000,Imogiri,3,2,89,80,, SHM ,1300,1,2020
390000000,Sedayu,2,1,80,40,, SHM ,1300,1,2021
385000000,Kasihan,2,1,71,36,, HGB ,1300,1,2020
1500000000,Sewon,,,,,,,,,
565000000,Piyungan,3,1,107,70,2, SHM ,1300,1,
542000000,Sedayu,2,1,123,40,, HGB ,1300,1,
680000000,Sewon,4,3,210,160,1,SHM,2200,2,2021
275000000,Pandak,2,1,96,45,1, SHM ,,1,
895000000,Banguntapan,2,2,96,50,1, SHM ,1300,2,2022
370000000,Kasihan,2,1,81,45,1, SHM ,1300,1,2022
399000000,Kasihan,2,1,84,45,1, SHM ,1300,1,2022
268000000,Sedayu,2,1,66,36,1, HGB ,,1,
2850000000,Pajangan,2,4,687,262,, SHM ,2200,,
485000000,Kasihan,2,1,83,44,1, SHM ,1300,2,2022
482000000,Piyungan,2,1,73,40,1, SHM ,,1,
330000000,Sedayu,2,1,70,36,1, SHM ,1300,1,
390000000,Sedayu,2,1,100,50,1, SHM ,1300,1,2022
318000000,Jetis,2,1,90,84,1, SHM ,1300,1,2007
549000000,Banguntapan,2,1,75,45,, SHM ,,,
550000000,Sewon,2,1,87,45,1, SHM ,1300,1,2022
450000000,Kasihan,2,1,107,67,, SHM ,,1,
890000000,Bantul,5,4,350,270,2,SHM,2200,3,2023
947000000,Kasihan,3,2,80,78,1, SHM ,2200,2,2022
392000000,Kasihan,2,1,110,40,1, SHM ,1300,1,2022
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,2022
350000000,Sewon,2,1,80,45,, SHM ,1300,1,
490000000,Sedayu,3,2,120,80,1,SHM,900,1,2023
760000000,Sewon,5,3,250,180,2,SHM,3500,2,2023
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,2022
570000000,Banguntapan,3,2,140,95,1,SHM,1300,1,2022
416000000,Piyungan,2,2,86,60,1, SHM ,,1,
357000000,Sedayu,2,1,87,45,, SHM ,1300,1,2016
275000000,Jetis,2,1,76,36,, SHM ,900,1,2020
805000000,Banguntapan,3,2,88,76,1, SHM ,2200,2,
805000000,Banguntapan,3,2,88,76,1, SHM ,1300,2,
798000000,Sedayu,2,1,108,37,, HGB ,1300,1,2018
785000000,Kasihan,3,2,83,70,1, SHM ,1300,2,2022
440000000,Banguntapan,2,1,75,55,, SHM ,1300,1,2010
540000000,Banguntapan,3,2,89,70,1, SHM ,1300,1,2022
210000000,Pajangan,2,1,60,30,1, SHM ,1300,1,2022
1050000000,Banguntapan,3,2,95,150,99, SHM ,2200,2,
195000000,Plered,2,1,60,30,1, SHM ,1300,1,2022
1700000000,Banguntapan,6,3,150,250,, SHM ,,,
355000000,Piyungan,2,1,75,40,1, SHM ,,1,
465000000,Pajangan,2,1,90,46,1, HGB ,1300,1,2022
3280000000,Kasihan,4,4,304,195,1, SHM ,3500,2,2022
450000000,Kasihan,2,1,83,65,, SHM ,1300,1,2020
760000000,Sedayu,3,2,80,75,1, SHM ,2200,2,2022
775000000,Banguntapan,4,3,330,230,2,SHM,2200,2,2020
750000000,Banguntapan,3,2,85,65,1, SHM ,1300,2,2022
785000000,Kasihan,3,2,83,70,1, SHM ,2200,2,2022
510000000,Banguntapan,3,2,75,50,1, SHM ,1300,1,2021
372000000,Kasihan,2,1,103,40,, SHM ,1300,1,
975000000,Kasihan,5,4,173,134,, SHM ,,1,
659000000,Banguntapan,3,2,76,65,1, SHM ,1300,2,2022
530000000,Kasihan,3,2,120,85,1,SHM,900,1,2020
595000000,Kasihan,2,1,100,100,1, SHM ,1300,1,
375000000,Sewon,2,1,81,45,1, SHM ,1300,1,2022
230000000,Bantul,2,1,60,36,1, HGB ,900,1,2022
2700000000,Kasihan,3,3,202,129,, SHM ,2200,,
680000000,Bantul,4,3,210,160,2,SHM,2200,2,2021
399000000,Sedayu,2,1,96,36,, SHM ,1300,,
195000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
750000000,Banguntapan,3,2,84,65,1, HGB ,2200,2,2022
550000000,Sewon,2,1,87,45,1, SHM ,1300,1,
807000000,Sedayu,2,1,105,50,1, SHM ,2200,1,2022
385000000,Kasihan,2,1,110,40,1, SHM ,1300,1,
2200000000,Kasihan,18,9,230,300,, SHM ,2200,2,
825000000,Sedayu,3,2,82,150,1, SHM ,,2,
1090000000,Banguntapan,3,2,109,75,1, SHM ,2200,2,
279000000,Pandak,2,1,82,45,1, SHM ,1300,1,2022
429000000,Banguntapan,2,1,73,36,1, SHM ,,1,
500000000,Plered,3,1,100,80,1, SHM ,1300,1,2021
1800000000,Banguntapan,4,2,130,200,, SHM ,2200,2,2017
839000000,Banguntapan,3,2,90,76,1, SHM ,2200,2,2022
480000000,Sewon,2,1,100,70,1,SHM,1300,1,2020
465000000,Banguntapan,2,1,81,55,, SHM ,1300,1,2019
425000000,Banguntapan,2,1,85,70,1, SHM ,1300,1,2022
270000000,Sedayu,2,1,74,36,1, SHM ,1300,1,2022
335000000,Kasihan,2,1,107,36,1, SHM ,,1,
890000000,Banguntapan,3,2,79,70,1, HGB ,1300,2,
1090000000,Banguntapan,3,2,111,75,, SHM ,1300,1,2017
350000000,Kasihan,2,1,75,45,1, SHM ,1300,1,2022
656000000,Sedayu,2,1,107,48,, SHM ,1300,1,2022
890000000,Sewon,6,6,100,80,2, SHM ,2200,2,2021
510000000,Banguntapan,3,2,110,70,1,SHM,1300,1,2019
445000000,Sedayu,3,1,109,50,, SHM ,1300,1,2021
1270000000,Banguntapan,3,2,36,61,1, SHM ,1300,1,2022
250000000,Pandak,2,1,80,40,1, SHM ,1300,1,2022
850000000,Banguntapan,4,1,103,110,1, SHM ,1300,2,2015
2700000000,Banguntapan,,,,,,,,,
843000000,Banguntapan,3,2,91,76,1, SHM ,2200,2,2022
659000000,Banguntapan,3,2,76,65,1, SHM ,1300,1,2022
839000000,Banguntapan,3,2,90,76,1, SHM ,2200,2,2022
947000000,Kasihan,3,2,80,78,1, SHM ,2200,2,2022
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,
575000000,Banguntapan,2,1,90,50,, SHM ,,,2019
3190000000,Bantul,4,4,295,195,2, SHM ,3500,2,2022
477000000,Sedayu,2,1,101,45,1, SHM ,1300,1,2022
673000000,Banguntapan,3,2,104,75,2, SHM ,,1,
3570000000,Kasihan,4,4,317,195,2, SHM ,3500,2,
490000000,Sedayu,2,1,100,70,1,SHM,900,1,2022
425000000,Kasihan,2,2,101,80,, SHM ,1300,2,2022
785000000,Kasihan,3,2,83,70,1, SHM ,1300,2,2022
225000000,Kasihan,2,1,88,36,1, SHM ,2200,1,
490000000,Sedayu,3,2,110,75,1,SHM,900,1,2023
299000000,Sedayu,2,1,72,36,, HGB ,2200,1,2022
8900000000,Sewon,3,3,1044,500,, SHM ,,2,
988000000,Sedayu,3,3,92,102,1, SHM ,2200,3,2022
335000000,Kasihan,2,1,70,36,1, SHM ,1300,1,2022
470000000,Bantul,3,2,100,50,1,SHM,1300,1,2022
200000000,Banguntapan,6,3,154,250,, SHM ,2200,2,2015
620000000,Kasihan,3,2,200,93,1, SHM ,1300,2,2020
2250000000,Sewon,3,2,700,80,, SHM ,,1,
2100000000,Sewon,17,4,304,250,2, SHM ,2200,2,2001
175000000,Pandak,2,1,60,30,1, SHM ,900,1,
850000000,Banguntapan,3,2,99,60,1, SHM ,2200,1,2020
1350000000,Kasihan,3,2,147,95,, HGB ,,1,
2500000000,Banguntapan,3,4,128,130,1, SHM ,,2,2014
3280000000,Kasihan,4,4,304,195,1, SHM ,3500,2,2022
375000000,Kasihan,2,1,82,45,1, SHM ,1300,1,2022
627000000,Banguntapan,3,2,92,45,1, SHM ,1300,1,2022
560000000,Sewon,3,2,150,100,1,SHM,1300,1,2022
510000000,Sedayu,3,2,72,48,1, SHM ,1300,1,
590000000,Sedayu,3,2,170,120,1,SHM,1300,1,2021
345000000,Sedayu,2,1,72,36,1, HGB ,1300,1,2022
450000000,Piyungan,2,1,95,40,, SHM ,,1,
800000000,Banguntapan,4,3,300,200,2,SHM,2200,2,2021
425000000,Bantul,2,1,93,45,1, SHM ,900,1,2022
958000000,Kasihan,3,2,78,80,1, SHM ,2200,2,2022
535000000,Kasihan,2,1,110,54,1, SHM ,1300,1,
450000000,Banguntapan,2,1,74,47,, SHM ,2020,,
357000000,Kasihan,2,1,80,40,1, SHM ,1300,1,
337000000,Kasihan,2,1,36,90,1, SHM ,1300,1,2022
17500000000,Kasihan,12,14,1250,900,, SHM ,6600,1,2019
375000000,Bantul,2,1,92,36,1, SHM ,1300,1,2022
385000000,Kasihan,2,1,80,45,1, SHM ,1300,1,
372000000,Kasihan,2,1,103,40,1, SHM ,1300,1,
475000000,Banguntapan,2,1,93,45,1, SHM ,1300,1,2019
185000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
375000000,Kasihan,2,1,80,45,1, SHM ,900,1,2022
575000000,Piyungan,2,1,108,55,1, SHM ,2200,1,2021
256000000,Pandak,2,1,102,36,, SHM ,900,,2018
3200000000,Sewon,7,5,243,400,, SHM ,,2,
363000000,Sedayu,2,1,80,36,1, SHM ,1300,1,2022
700000000,Banguntapan,4,2,143,120,1, SHM ,1300,1,2020
480000000,Kasihan,2,1,95,45,1, SHM ,1300,1,2022
600000000,Banguntapan,6,6,81,100,3, SHM ,2200,2,2021
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,2022
482000000,Piyungan,2,1,72,40,1, SHM ,1300,1,
699000000,Sedayu,3,2,155,90,, SHM ,1300,1,2020
1900000000,Kasihan,4,3,166,145,1, SHM ,2200,2,2021
4800000000,Banguntapan,,,,,,,,,
200000000,Sewon,4,2,490,240,, SHM ,2200,2,2005
354000000,Bantul,2,1,71,36,, SHM ,1300,1,2022
430000000,Sedayu,3,1,80,49,, SHM ,,1,
195000000,Sedayu,2,1,60,30,1, SHM ,1300,1,2022
475000000,Piyungan,2,1,108,55,1, SHM ,1300,1,2022
900000000,Banguntapan,2,1,103,103,, SHM ,1300,,
750000000,Sedayu,4,3,320,220,2,SHM,2200,2,2019
2250000000,Banguntapan,4,4,130,160,1, SHM ,4400,2,2022
800000000,Sedayu,5,4,340,240,2,SHM,2200,3,2021
449000000,Kasihan,1,,93,45,, SHM ,,,
465000000,Banguntapan,3,1,50,70,1, SHM ,1300,2,
590000000,Kasihan,2,1,100,65,1,SHM,900,1,2022
2900000000,Banguntapan,,,,,,,,,
